icd_code,n,d,rate
2872,0,2,0.0
28731,0,8,0.0
2875,0,20,0.0
28800,0,12,0.0
2883,0,2,0.0
28850,0,1,0.0
28860,1,16,0.0625
28861,0,1,0.0
2892,0,5,0.0
2893,0,5,0.0
28959,0,1,0.0
28981,0,10,0.0
2900,2,51,0.0392156862745098
29181,1,31,0.03225806451612903
2920,0,32,0.0
29212,0,1,0.0
29281,0,2,0.0
29284,0,2,0.0
29285,0,1,0.0
29289,0,2,0.0
29381,0,1,0.0
29410,0,16,0.0
29411,1,4,0.25
29420,0,51,0.0
29421,0,1,0.0
2949,0,2,0.0
29520,0,2,0.0
29530,2,7,0.2857142857142857
29532,0,1,0.0
29540,0,1,0.0
29570,1,13,0.07692307692307693
29590,6,46,0.13043478260869565
29620,0,15,0.0
29622,0,2,0.0
29630,0,1,0.0
29634,0,1,0.0
29640,0,7,0.0
29644,0,1,0.0
29650,0,6,0.0
29660,0,1,0.0
2967,1,15,0.06666666666666667
29680,0,31,0.0
29689,0,1,0.0
29690,0,33,0.0
29699,0,1,0.0
2971,0,19,0.0
2979,0,1,0.0
2982,0,1,0.0
2989,0,36,0.0
29900,0,2,0.0
29980,0,2,0.0
30000,12,634,0.01892744479495268
30001,1,98,0.01020408163265306
30002,0,8,0.0
30009,0,4,0.0
30011,0,8,0.0
30015,0,1,0.0
30021,0,1,0.0
3004,0,4,0.0
3009,1,6,0.16666666666666666
30122,0,1,0.0
3013,0,3,0.0
30151,0,1,0.0
3017,0,1,0.0
30189,0,1,0.0
3019,0,1,0.0
30300,20,140,0.14285714285714285
30301,4,11,0.36363636363636365
30390,4,70,0.05714285714285714
30391,2,14,0.14285714285714285
30400,0,20,0.0
30401,0,14,0.0
30410,0,3,0.0
30411,0,4,0.0
30421,0,1,0.0
30440,0,1,0.0
30460,0,1,0.0
30461,0,2,0.0
30470,0,8,0.0
30471,0,2,0.0
30500,59,1241,0.04754230459307011
30501,0,1,0.0
3051,0,1,0.0
30520,0,50,0.0
30521,0,5,0.0
30530,0,2,0.0
30540,0,4,0.0
30541,0,1,0.0
30550,2,44,0.045454545454545456
30551,0,6,0.0
30553,0,1,0.0
30560,1,24,0.041666666666666664
30561,0,2,0.0
30570,0,5,0.0
30590,2,60,0.03333333333333333
30591,0,1,0.0
3061,0,5,0.0
3071,0,13,0.0
30722,0,1,0.0
30742,0,1,0.0
30750,0,7,0.0
30751,0,4,0.0
30759,0,1,0.0
30780,0,1,0.0
30781,0,21,0.0
3079,0,48,0.0
3080,0,6,0.0
3082,0,1,0.0
3083,0,2,0.0
3089,0,7,0.0
3090,0,30,0.0
30924,0,6,0.0
30928,0,11,0.0
30981,0,12,0.0
30989,0,1,0.0
3099,0,9,0.0
3102,0,88,0.0
311,7,326,0.02147239263803681
31234,0,1,0.0
31289,0,1,0.0
3129,1,19,0.05263157894736842
31400,0,5,0.0
31401,0,12,0.0
3158,0,6,0.0
317,0,3,0.0
319,0,15,0.0
3207,0,1,0.0
3229,0,1,0.0
32382,0,1,0.0
3241,0,1,0.0
32723,0,1,0.0
3310,1,30,0.03333333333333333
3313,0,1,0.0
3314,0,2,0.0
33182,0,2,0.0
3319,0,1,0.0
3320,4,75,0.05333333333333334
3332,0,4,0.0
3334,0,2,0.0
33372,0,7,0.0
